CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004465414FF;06/03/2023;19;0,469;R
ES0021000004465414FF;06/03/2023;20;0,782;R
ES0021000004465414FF;06/03/2023;21;1,133;R
ES0021000004465414FF;06/03/2023;22;1,283;R
ES0021000004465414FF;06/03/2023;23;0,929;R
ES0021000004465414FF;06/03/2023;24;0,683;R
ES0021000004465414FF;07/03/2023;1;0,428;R
ES0021000004465414FF;07/03/2023;2;0,215;R
ES0021000004465414FF;07/03/2023;3;0,223;R
ES0021000004465414FF;07/03/2023;4;0,15;R
ES0021000004465414FF;07/03/2023;5;0,172;R
ES0021000004465414FF;07/03/2023;6;0,135;R
ES0021000004465414FF;07/03/2023;7;0,181;R
ES0021000004465414FF;07/03/2023;8;0,298;R
ES0021000004465414FF;07/03/2023;9;0,775;R
ES0021000004465414FF;07/03/2023;10;1,152;R
ES0021000004465414FF;07/03/2023;11;1,001;R
ES0021000004465414FF;07/03/2023;12;0,569;R
ES0021000004465414FF;07/03/2023;13;0,357;R
ES0021000004465414FF;07/03/2023;14;0,898;R
ES0021000004465414FF;07/03/2023;15;0,235;R
ES0021000004465414FF;07/03/2023;16;0,292;R
ES0021000004465414FF;07/03/2023;17;0,087;R
ES0021000004465414FF;07/03/2023;18;0,178;R
ES0021000004465414FF;07/03/2023;19;0,106;R
ES0021000004465414FF;07/03/2023;20;0,156;R
ES0021000004465414FF;07/03/2023;21;1,372;R
ES0021000004465414FF;07/03/2023;22;1,392;R
ES0021000004465414FF;07/03/2023;23;0,6;R
ES0021000004465414FF;07/03/2023;24;0,694;R
ES0021000004465414FF;08/03/2023;1;0,357;R
ES0021000004465414FF;08/03/2023;2;0,201;R
ES0021000004465414FF;08/03/2023;3;0,19;R
ES0021000004465414FF;08/03/2023;4;0,189;R
ES0021000004465414FF;08/03/2023;5;0,128;R
ES0021000004465414FF;08/03/2023;6;0,161;R
ES0021000004465414FF;08/03/2023;7;0,358;R
ES0021000004465414FF;08/03/2023;8;0,192;R
ES0021000004465414FF;08/03/2023;9;0,129;R
ES0021000004465414FF;08/03/2023;10;0,169;R
ES0021000004465414FF;08/03/2023;11;0,411;R
ES0021000004465414FF;08/03/2023;12;0,392;R
ES0021000004465414FF;08/03/2023;13;0,374;R
ES0021000004465414FF;08/03/2023;14;0,291;R
ES0021000004465414FF;08/03/2023;15;0,137;R
ES0021000004465414FF;08/03/2023;16;0,28;R
ES0021000004465414FF;08/03/2023;17;0,175;R
ES0021000004465414FF;08/03/2023;18;0,366;R
ES0021000004465414FF;08/03/2023;19;0,294;R
ES0021000004465414FF;08/03/2023;20;0,238;R
ES0021000004465414FF;08/03/2023;21;1,144;R
ES0021000004465414FF;08/03/2023;22;1,632;R
ES0021000004465414FF;08/03/2023;23;1,485;R
ES0021000004465414FF;08/03/2023;24;1,06;R
ES0021000004465414FF;09/03/2023;1;0,761;R
ES0021000004465414FF;09/03/2023;2;0,503;R
ES0021000004465414FF;09/03/2023;3;0,124;R
ES0021000004465414FF;09/03/2023;4;0,153;R
ES0021000004465414FF;09/03/2023;5;0,108;R
ES0021000004465414FF;09/03/2023;6;0,155;R
ES0021000004465414FF;09/03/2023;7;0,712;R
ES0021000004465414FF;09/03/2023;8;0,172;R
ES0021000004465414FF;09/03/2023;9;0,16;R
ES0021000004465414FF;09/03/2023;10;0,351;R
ES0021000004465414FF;09/03/2023;11;0,444;R
ES0021000004465414FF;09/03/2023;12;0,378;R
ES0021000004465414FF;09/03/2023;13;0,143;R
ES0021000004465414FF;09/03/2023;14;0,157;R
