Fecha de la medida;Hora de la medida;Medida de la magnitud activa entrante;Método de obtención
09/11/2022;3;49;R
09/11/2022;4;50;R
09/11/2022;5;48;R
09/11/2022;6;49;R
09/11/2022;7;49;R
09/11/2022;8;90;R
09/11/2022;9;215;R
09/11/2022;10;63;R
09/11/2022;11;52;R
09/11/2022;12;67;R
09/11/2022;13;46;R
09/11/2022;14;49;R
09/11/2022;15;50;R
09/11/2022;16;49;R
09/11/2022;17;67;R
09/11/2022;18;142;R
09/11/2022;19;187;R
09/11/2022;20;171;R
09/11/2022;21;162;R
09/11/2022;22;156;R
09/11/2022;23;125;R
09/11/2022;24;81;R
10/11/2022;1;49;R
10/11/2022;2;49;R
10/11/2022;3;45;R
10/11/2022;4;51;R
10/11/2022;5;50;R
10/11/2022;6;48;R
10/11/2022;7;48;R
10/11/2022;8;90;R
10/11/2022;9;233;R
10/11/2022;10;102;R
10/11/2022;11;47;R
10/11/2022;12;49;R
10/11/2022;13;48;R
10/11/2022;14;48;R
10/11/2022;15;48;R
10/11/2022;16;77;R
10/11/2022;17;104;R
10/11/2022;18;166;R
10/11/2022;19;159;R
10/11/2022;20;169;R
10/11/2022;21;72;R
10/11/2022;22;256;R
10/11/2022;23;147;R
10/11/2022;24;101;R
11/11/2022;1;63;R
11/11/2022;2;58;R
11/11/2022;3;58;R
11/11/2022;4;56;R
11/11/2022;5;59;R
11/11/2022;6;58;R
11/11/2022;7;50;R
11/11/2022;8;52;R
11/11/2022;9;218;R
11/11/2022;10;76;R
11/11/2022;11;49;R
11/11/2022;12;66;R
11/11/2022;13;49;R
11/11/2022;14;49;R
11/11/2022;15;48;R
11/11/2022;16;59;R
11/11/2022;17;60;R
11/11/2022;18;498;R
11/11/2022;19;214;R
11/11/2022;20;168;R
11/11/2022;21;219;R
11/11/2022;22;64;R
11/11/2022;23;138;R
11/11/2022;24;114;R
12/11/2022;1;54;R
12/11/2022;2;50;R
12/11/2022;3;51;R
12/11/2022;4;50;R
12/11/2022;5;52;R
12/11/2022;6;50;R
12/11/2022;7;44;R
12/11/2022;8;48;R
12/11/2022;9;54;R
12/11/2022;10;430;R
12/11/2022;11;307;R
12/11/2022;12;129;R
12/11/2022;13;421;R
12/11/2022;14;758;R
12/11/2022;15;350;R
12/11/2022;16;470;R
12/11/2022;17;647;R
12/11/2022;18;356;R
12/11/2022;19;473;R
12/11/2022;20;981;R
12/11/2022;21;1008;R
12/11/2022;22;494;R
12/11/2022;23;361;R
12/11/2022;24;376;R
13/11/2022;1;361;R
13/11/2022;2;328;R
13/11/2022;3;279;R
13/11/2022;4;236;R
13/11/2022;5;198;R
13/11/2022;6;525;R
13/11/2022;7;251;R
13/11/2022;8;60;R
13/11/2022;9;54;R
13/11/2022;10;50;R
13/11/2022;11;50;R
13/11/2022;12;97;R
13/11/2022;13;125;R
13/11/2022;14;105;R
13/11/2022;15;93;R
13/11/2022;16;79;R
13/11/2022;17;73;R
13/11/2022;18;223;R
13/11/2022;19;486;R
13/11/2022;20;85;R
13/11/2022;21;58;R
13/11/2022;22;196;R
13/11/2022;23;332;R
13/11/2022;24;72;R
14/11/2022;1;50;R
14/11/2022;2;50;R
14/11/2022;3;47;R
14/11/2022;4;49;R
14/11/2022;5;52;R
14/11/2022;6;50;R
14/11/2022;7;50;R
14/11/2022;8;85;R
14/11/2022;9;324;R
14/11/2022;10;167;R
14/11/2022;11;93;R
14/11/2022;12;73;R
14/11/2022;13;48;R
14/11/2022;14;46;R
14/11/2022;15;972;R
14/11/2022;16;357;R
14/11/2022;17;209;R
14/11/2022;18;253;R
14/11/2022;19;489;R
14/11/2022;20;451;R
14/11/2022;21;86;R
14/11/2022;22;121;R
14/11/2022;23;130;R
14/11/2022;24;86;R
15/11/2022;1;62;R
15/11/2022;2;53;R
15/11/2022;3;50;R
15/11/2022;4;50;R
15/11/2022;5;47;R
15/11/2022;6;50;R
15/11/2022;7;49;R
15/11/2022;8;91;R
15/11/2022;9;322;R
15/11/2022;10;105;R
15/11/2022;11;122;R
15/11/2022;12;139;R
15/11/2022;13;105;R
15/11/2022;14;107;R
15/11/2022;15;557;R
15/11/2022;16;548;R
15/11/2022;17;236;R
15/11/2022;18;126;R
15/11/2022;19;169;R
15/11/2022;20;127;R
15/11/2022;21;50;R
15/11/2022;22;346;R
15/11/2022;23;322;R
15/11/2022;24;243;R
16/11/2022;1;228;R
16/11/2022;2;225;R
16/11/2022;3;225;R
16/11/2022;4;227;R
16/11/2022;5;223;R
16/11/2022;6;222;R
16/11/2022;7;235;R
16/11/2022;8;186;R
16/11/2022;9;110;R
16/11/2022;10;58;R
16/11/2022;11;50;R
16/11/2022;12;68;R
16/11/2022;13;48;R
16/11/2022;14;50;R
16/11/2022;15;49;R
16/11/2022;16;55;R
16/11/2022;17;69;R
16/11/2022;18;450;R
16/11/2022;19;175;R
16/11/2022;20;138;R
16/11/2022;21;62;R
16/11/2022;22;163;R
16/11/2022;23;126;R
16/11/2022;24;93;R
17/11/2022;1;55;R
17/11/2022;2;53;R
17/11/2022;3;52;R
17/11/2022;4;52;R
17/11/2022;5;76;R
17/11/2022;6;101;R
17/11/2022;7;60;R
17/11/2022;8;94;R
17/11/2022;9;262;R
17/11/2022;10;109;R
17/11/2022;11;71;R
17/11/2022;12;48;R
17/11/2022;13;49;R
17/11/2022;14;51;R
17/11/2022;15;51;R
17/11/2022;16;58;R
17/11/2022;17;70;R
17/11/2022;18;117;R
17/11/2022;19;192;R
17/11/2022;20;153;R
17/11/2022;21;56;R
17/11/2022;22;131;R
17/11/2022;23;239;R
17/11/2022;24;124;R
18/11/2022;1;66;R
18/11/2022;2;58;R
18/11/2022;3;54;R
18/11/2022;4;53;R
18/11/2022;5;56;R
18/11/2022;6;52;R
18/11/2022;7;51;R
18/11/2022;8;53;R
