#{"t_start": 1710201126.565544, "env_id": "microgrid-v0"}
r,l,t
35.422458,1024,138.880745
34.462847,1024,139.103438
36.570679,1024,139.324914
34.598679,1024,139.559683
31.511044,1024,139.798479
54.169837,1024,140.02599
23.899906,1024,140.254855
33.257694,1024,140.481497
35.183151,1024,140.71457
43.994902,1024,140.941477
36.328413,1024,141.178841
34.567502,1024,141.41644
32.205297,1024,141.651858
39.05612,1024,141.887621
41.352726,1024,142.111794
28.46414,1024,142.342321
41.855519,1024,142.565999
32.700682,1024,142.788983
33.396785,1024,143.015609
40.164907,1024,143.2435
36.625616,1024,143.467006
34.075529,1024,143.696612
43.868197,1024,143.921109
40.134078,1024,144.145179
21.404648,1024,144.373152
40.840187,1024,144.604047
41.465694,1024,144.837943
49.539128,1024,145.072624
47.280836,1024,145.309056
40.199889,1024,145.544749
38.619029,1024,145.769897
47.654905,1024,145.99446
46.96774,1024,146.219843
48.903432,1024,146.444006
43.118141,1024,146.671358
53.64271,1024,146.901361
25.177252,1024,147.139505
20.91025,1024,147.363962
36.896324,1024,147.592684
44.218459,1024,147.82478
43.799879,1024,148.060932
44.208941,1024,148.296202
29.550016,1024,148.531075
33.071945,1024,148.764358
23.559627,1024,149.001758
30.841847,1024,149.233756
53.615258,1024,149.462885
37.185197,1024,149.691631
26.031141,1024,149.920157
31.289469,1024,150.142241
48.900931,1024,150.367719
44.750425,1024,150.591184
38.644704,1024,150.815365
25.807769,1024,151.043699
34.294277,1024,151.267748
44.849749,1024,151.492401
37.451444,1024,151.72895
44.910723,1024,151.952745
35.732626,1024,152.18103
43.005552,1024,152.416046
45.626794,1024,152.653395
41.06135,1024,152.883858
39.656146,1024,153.116064
34.157344,1024,153.349068
24.933578,1024,153.582322
32.891038,1024,153.812777
36.138907,1024,154.037926
41.696162,1024,154.261975
19.351272,1024,154.485417
44.185779,1024,154.715678
29.511261,1024,154.936564
48.39591,1024,155.162341
43.908223,1024,155.38643
37.075822,1024,155.612229
47.2668,1024,155.838333
21.716802,1024,156.065512
35.615317,1024,156.313739
24.185762,1024,156.560631
24.657041,1024,156.793183
31.999646,1024,157.018259
35.241277,1024,157.248949
38.462849,1024,157.475129
38.39751,1024,157.705775
37.725253,1024,157.937977
22.864951,1024,158.166203
37.931375,1024,158.394499
20.780449,1024,158.62028
41.522662,1024,158.84575
28.217354,1024,159.073743
46.105723,1024,159.297095
51.864498,1024,159.524364
39.058185,1024,159.751424
34.819805,1024,159.981904
37.626497,1024,160.205305
37.142815,1024,160.431465
28.173157,1024,160.656901
39.893717,1024,160.881078
39.075259,1024,161.109694
37.696081,1024,161.334338
45.633664,1024,161.557509
23.717481,1024,161.784435
