P (kW);Time
0.0;2018-01-15 04:10:00
0.0;2018-01-15 05:10:00
0.0;2018-01-15 06:10:00
0.0;2018-01-15 07:10:00
0.19555;2018-01-15 08:10:00
0.47919;2018-01-15 09:10:00
0.64818;2018-01-15 10:10:00
0.7525299999999999;2018-01-15 11:10:00
0.78516;2018-01-15 12:10:00
0.70854;2018-01-15 13:10:00
0.46482;2018-01-15 14:10:00
0.46697000000000005;2018-01-15 15:10:00
0.14365;2018-01-15 16:10:00
0.0;2018-01-15 17:10:00
0.0;2018-01-15 18:10:00
0.0;2018-01-15 19:10:00
0.0;2018-01-15 20:10:00
0.0;2018-01-15 21:10:00
0.0;2018-01-15 22:10:00
0.0;2018-01-15 23:10:00
0.0;2018-01-16 00:10:00
0.0;2018-01-16 01:10:00
0.0;2018-01-16 02:10:00
0.0;2018-01-16 03:10:00
0.0;2018-01-16 04:10:00
0.0;2018-01-16 05:10:00
0.0;2018-01-16 06:10:00
0.0;2018-01-16 07:10:00
0.18362;2018-01-16 08:10:00
0.45608;2018-01-16 09:10:00
0.62903;2018-01-16 10:10:00
0.75764;2018-01-16 11:10:00
0.75239;2018-01-16 12:10:00
0.7300599999999999;2018-01-16 13:10:00
0.59929;2018-01-16 14:10:00
0.5012099999999999;2018-01-16 15:10:00
0.27912;2018-01-16 16:10:00
0.0;2018-01-16 17:10:00
0.0;2018-01-16 18:10:00
0.0;2018-01-16 19:10:00
0.0;2018-01-16 20:10:00
0.0;2018-01-16 21:10:00
0.0;2018-01-16 22:10:00
0.0;2018-01-16 23:10:00
0.0;2018-01-17 00:10:00
0.0;2018-01-17 01:10:00
0.0;2018-01-17 02:10:00
0.0;2018-01-17 03:10:00
0.0;2018-01-17 04:10:00
0.0;2018-01-17 05:10:00
0.0;2018-01-17 06:10:00
0.0;2018-01-17 07:10:00
0.18305000000000002;2018-01-17 08:10:00
0.4437;2018-01-17 09:10:00
0.61587;2018-01-17 10:10:00
0.73142;2018-01-17 11:10:00
0.75795;2018-01-17 12:10:00
0.75528;2018-01-17 13:10:00
0.66073;2018-01-17 14:10:00
0.5155599999999999;2018-01-17 15:10:00
0.2882699999999999;2018-01-17 16:10:00
0.0;2018-01-17 17:10:00
0.0;2018-01-17 18:10:00
0.0;2018-01-17 19:10:00
0.0;2018-01-17 20:10:00
0.0;2018-01-17 21:10:00
0.0;2018-01-17 22:10:00
0.0;2018-01-17 23:10:00
0.0;2018-01-18 00:10:00
0.0;2018-01-18 01:10:00
0.0;2018-01-18 02:10:00
0.0;2018-01-18 03:10:00
0.0;2018-01-18 04:10:00
0.0;2018-01-18 05:10:00
0.0;2018-01-18 06:10:00
0.0;2018-01-18 07:10:00
0.21068;2018-01-18 08:10:00
0.46716;2018-01-18 09:10:00
0.62641;2018-01-18 10:10:00
0.71882;2018-01-18 11:10:00
0.7293;2018-01-18 12:10:00
0.72553;2018-01-18 13:10:00
0.63667;2018-01-18 14:10:00
0.49945;2018-01-18 15:10:00
0.28925;2018-01-18 16:10:00
0.0;2018-01-18 17:10:00
0.0;2018-01-18 18:10:00
0.0;2018-01-18 19:10:00
0.0;2018-01-18 20:10:00
0.0;2018-01-18 21:10:00
0.0;2018-01-18 22:10:00
0.0;2018-01-18 23:10:00
0.0;2018-01-19 00:10:00
0.0;2018-01-19 01:10:00
0.0;2018-01-19 02:10:00
0.0;2018-01-19 03:10:00
0.0;2018-01-19 04:10:00
0.0;2018-01-19 05:10:00
0.0;2018-01-19 06:10:00
0.0;2018-01-19 07:10:00
0.23298;2018-01-19 08:10:00
0.46642;2018-01-19 09:10:00
0.63585;2018-01-19 10:10:00
0.73619;2018-01-19 11:10:00
0.75815;2018-01-19 12:10:00
0.7546;2018-01-19 13:10:00
0.66742;2018-01-19 14:10:00
0.5165299999999999;2018-01-19 15:10:00
0.30332;2018-01-19 16:10:00
0.0;2018-01-19 17:10:00
0.0;2018-01-19 18:10:00
0.0;2018-01-19 19:10:00
0.0;2018-01-19 20:10:00
0.0;2018-01-19 21:10:00
0.0;2018-01-19 22:10:00
0.0;2018-01-19 23:10:00
0.0;2018-01-20 00:10:00
0.0;2018-01-20 01:10:00
0.0;2018-01-20 02:10:00
0.0;2018-01-20 03:10:00
0.0;2018-01-20 04:10:00
0.0;2018-01-20 05:10:00
0.0;2018-01-20 06:10:00
0.0;2018-01-20 07:10:00
0.21522;2018-01-20 08:10:00
0.25453;2018-01-20 09:10:00
0.25158;2018-01-20 10:10:00
0.10096;2018-01-20 11:10:00
0.07396;2018-01-20 12:10:00
0.21805000000000002;2018-01-20 13:10:00
0.19496;2018-01-20 14:10:00
0.18027;2018-01-20 15:10:00
0.09861;2018-01-20 16:10:00
0.0;2018-01-20 17:10:00
0.0;2018-01-20 18:10:00
0.0;2018-01-20 19:10:00
0.0;2018-01-20 20:10:00
0.0;2018-01-20 21:10:00
0.0;2018-01-20 22:10:00
0.0;2018-01-20 23:10:00
0.0;2018-01-21 00:10:00
0.0;2018-01-21 01:10:00
0.0;2018-01-21 02:10:00
0.0;2018-01-21 03:10:00
0.0;2018-01-21 04:10:00
0.0;2018-01-21 05:10:00
0.0;2018-01-21 06:10:00
0.0;2018-01-21 07:10:00
0.16813;2018-01-21 08:10:00
0.4443399999999999;2018-01-21 09:10:00
0.61056;2018-01-21 10:10:00
0.71713;2018-01-21 11:10:00
0.74534;2018-01-21 12:10:00
0.72768;2018-01-21 13:10:00
0.6445599999999999;2018-01-21 14:10:00
0.50064;2018-01-21 15:10:00
0.2806499999999999;2018-01-21 16:10:00
0.0;2018-01-21 17:10:00
0.0;2018-01-21 18:10:00
0.0;2018-01-21 19:10:00
0.0;2018-01-21 20:10:00
0.0;2018-01-21 21:10:00
0.0;2018-01-21 22:10:00
0.0;2018-01-21 23:10:00
0.0;2018-01-22 00:10:00
0.0;2018-01-22 01:10:00
0.0;2018-01-22 02:10:00
0.0;2018-01-22 03:10:00
0.0;2018-01-22 04:10:00
0.0;2018-01-22 05:10:00
0.0;2018-01-22 06:10:00
0.0;2018-01-22 07:10:00
0.1953899999999999;2018-01-22 08:10:00
0.4736499999999999;2018-01-22 09:10:00
0.6267999999999999;2018-01-22 10:10:00
0.71575;2018-01-22 11:10:00
0.73251;2018-01-22 12:10:00
0.72937;2018-01-22 13:10:00
0.6542100000000001;2018-01-22 14:10:00
0.51348;2018-01-22 15:10:00
0.29475;2018-01-22 16:10:00
0.0;2018-01-22 17:10:00
0.0;2018-01-22 18:10:00
0.0;2018-01-22 19:10:00
0.0;2018-01-22 20:10:00
0.0;2018-01-22 21:10:00
0.0;2018-01-22 22:10:00
0.0;2018-01-22 23:10:00
0.0;2018-01-23 00:10:00
0.0;2018-01-23 01:10:00
0.0;2018-01-23 02:10:00
0.0;2018-01-23 03:10:00
0.0;2018-01-23 04:10:00
0.0;2018-01-23 05:10:00
0.0;2018-01-23 06:10:00
0.0;2018-01-23 07:10:00
0.1868899999999999;2018-01-23 08:10:00
0.4006;2018-01-23 09:10:00
0.55202;2018-01-23 10:10:00
0.70494;2018-01-23 11:10:00
0.73476;2018-01-23 12:10:00
0.69425;2018-01-23 13:10:00
0.57662;2018-01-23 14:10:00
0.42349000000000003;2018-01-23 15:10:00
0.28684;2018-01-23 16:10:00
0.0;2018-01-23 17:10:00
0.0;2018-01-23 18:10:00
0.0;2018-01-23 19:10:00
0.0;2018-01-23 20:10:00
0.0;2018-01-23 21:10:00
0.0;2018-01-23 22:10:00
0.0;2018-01-23 23:10:00
0.0;2018-01-24 00:10:00
0.0;2018-01-24 01:10:00
0.0;2018-01-24 02:10:00
0.0;2018-01-24 03:10:00
0.0;2018-01-24 04:10:00
0.0;2018-01-24 05:10:00
0.0;2018-01-24 06:10:00
0.0;2018-01-24 07:10:00
0.20383;2018-01-24 08:10:00
0.47942;2018-01-24 09:10:00
0.61279;2018-01-24 10:10:00
0.71577;2018-01-24 11:10:00
0.77525;2018-01-24 12:10:00
0.74522;2018-01-24 13:10:00
0.6789299999999999;2018-01-24 14:10:00
0.52437;2018-01-24 15:10:00
0.29329;2018-01-24 16:10:00
0.0;2018-01-24 17:10:00
0.0;2018-01-24 18:10:00
0.0;2018-01-24 19:10:00
0.0;2018-01-24 20:10:00
0.0;2018-01-24 21:10:00
0.0;2018-01-24 22:10:00
0.0;2018-01-24 23:10:00
0.0;2018-01-25 00:10:00
0.0;2018-01-25 01:10:00
0.0;2018-01-25 02:10:00
0.0;2018-01-25 03:10:00
0.0;2018-01-25 04:10:00
0.0;2018-01-25 05:10:00
0.0;2018-01-25 06:10:00
0.0;2018-01-25 07:10:00
0.02797;2018-01-25 08:10:00
0.20207;2018-01-25 09:10:00
0.34718;2018-01-25 10:10:00
0.37479;2018-01-25 11:10:00
0.0505;2018-01-25 12:10:00
0.023530000000000002;2018-01-25 13:10:00
0.053880000000000004;2018-01-25 14:10:00
0.061880000000000004;2018-01-25 15:10:00
0.0035499999999999;2018-01-25 16:10:00
0.0;2018-01-25 17:10:00
0.0;2018-01-25 18:10:00
0.0;2018-01-25 19:10:00
0.0;2018-01-25 20:10:00
0.0;2018-01-25 21:10:00
0.0;2018-01-25 22:10:00
0.0;2018-01-25 23:10:00
0.0;2018-01-26 00:10:00
0.0;2018-01-26 01:10:00
0.0;2018-01-26 02:10:00
0.0;2018-01-26 03:10:00
0.0;2018-01-26 04:10:00
0.0;2018-01-26 05:10:00
0.0;2018-01-26 06:10:00
0.0;2018-01-26 07:10:00
0.2239799999999999;2018-01-26 08:10:00
0.48242;2018-01-26 09:10:00
0.67784;2018-01-26 10:10:00
0.79312;2018-01-26 11:10:00
0.73752;2018-01-26 12:10:00
0.4747099999999999;2018-01-26 13:10:00
0.6500499999999999;2018-01-26 14:10:00
0.49881;2018-01-26 15:10:00
0.239;2018-01-26 16:10:00
0.0;2018-01-26 17:10:00
0.0;2018-01-26 18:10:00
0.0;2018-01-26 19:10:00
0.0;2018-01-26 20:10:00
0.0;2018-01-26 21:10:00
0.0;2018-01-26 22:10:00
0.0;2018-01-26 23:10:00
0.0;2018-01-27 00:10:00
0.0;2018-01-27 01:10:00
0.0;2018-01-27 02:10:00
0.0;2018-01-27 03:10:00
0.0;2018-01-27 04:10:00
0.0;2018-01-27 05:10:00
0.0;2018-01-27 06:10:00
0.0;2018-01-27 07:10:00
0.15493;2018-01-27 08:10:00
0.4875;2018-01-27 09:10:00
0.67212;2018-01-27 10:10:00
0.77297;2018-01-27 11:10:00
0.7615599999999999;2018-01-27 12:10:00
0.7970499999999999;2018-01-27 13:10:00
0.5758;2018-01-27 14:10:00
0.1561399999999999;2018-01-27 15:10:00
0.0853;2018-01-27 16:10:00
0.0;2018-01-27 17:10:00
0.0;2018-01-27 18:10:00
0.0;2018-01-27 19:10:00
0.0;2018-01-27 20:10:00
0.0;2018-01-27 21:10:00
0.0;2018-01-27 22:10:00
0.0;2018-01-27 23:10:00
0.0;2018-01-28 00:10:00
