Time;Consumo (kWh);ID
2022-02-22 23:00:00;0,349;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 00:00:00;0,171;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 01:00:00;0,147;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 02:00:00;0,188;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 03:00:00;0,107;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 04:00:00;0,208;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 05:00:00;0,138;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 06:00:00;0,345;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 07:00:00;0,239;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 08:00:00;0,228;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 09:00:00;0,277;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 10:00:00;0,219;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 11:00:00;0,422;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 12:00:00;0,33;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 13:00:00;0,292;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 14:00:00;1,063;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 15:00:00;0,449;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 16:00:00;0,545;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 17:00:00;0,388;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 18:00:00;0,543;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 19:00:00;0,465;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 20:00:00;0,562;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 21:00:00;0,93;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 22:00:00;1,389;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-23 23:00:00;0,342;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 00:00:00;0,259;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 01:00:00;0,206;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 02:00:00;0,163;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 03:00:00;0,244;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 04:00:00;0,219;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 05:00:00;0,13;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 06:00:00;0,356;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 07:00:00;0,312;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 08:00:00;0,175;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 09:00:00;0,24;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 10:00:00;0,196;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 11:00:00;0,189;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 12:00:00;0,225;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 13:00:00;0,221;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 14:00:00;0,974;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 15:00:00;0,335;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 16:00:00;0,291;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 17:00:00;0,443;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 18:00:00;0,35;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 19:00:00;0,444;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 20:00:00;0,507;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 21:00:00;0,694;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 22:00:00;0,447;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-24 23:00:00;0,432;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 00:00:00;0,266;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 01:00:00;0,132;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 02:00:00;0,18;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 03:00:00;0,123;Casa1_18_02_2022-18_02_2023-R.csv
2022-02-25 04:00:00;0,172;Casa1_18_02_2022-18_02_2023-R.csv
