time;P;G(i);H_sun;T2m;WS10m;Int
20180106:1810;0.0;0.0;0.0;2.5;3.38;0.0
20180106:1910;0.0;0.0;0.0;2.27;3.1;0.0
20180106:2010;0.0;0.0;0.0;2.35;2.83;0.0
20180106:2110;0.0;0.0;0.0;2.14;2.55;0.0
20180106:2210;0.0;0.0;0.0;1.96;2.41;0.0
20180106:2310;0.0;0.0;0.0;1.84;2.07;0.0
20180107:0010;0.0;0.0;0.0;1.8;1.86;0.0
20180107:0110;0.0;0.0;0.0;1.31;1.45;0.0
20180107:0210;0.0;0.0;0.0;1.05;1.31;0.0
20180107:0310;0.0;0.0;0.0;1.02;1.38;0.0
20180107:0410;0.0;0.0;0.0;1.03;1.24;0.0
20180107:0510;0.0;0.0;0.0;1.08;1.24;0.0
20180107:0610;0.0;0.0;0.0;1.21;1.17;0.0
20180107:0710;0.0;0.0;0.0;2.08;0.34;0.0
20180107:0810;0.0;4.61;4.39;2.23;0.34;0.0
20180107:0910;58.55;82.18;13.14;2.34;0.14;0.0
20180107:1010;41.7;62.69;20.24;2.49;0.41;0.0
20180107:1110;82.39;109.7;25.09;3.03;0.48;0.0
20180107:1210;132.36;165.47;27.15;3.32;1.17;0.0
20180107:1310;90.71;118.92;26.16;3.23;1.59;0.0
20180107:1410;202.56;241.37;22.24;3.11;1.72;0.0
20180107:1510;68.68;93.83;15.87;3.08;1.79;0.0
20180107:1610;111.44;143.48;7.64;2.92;2.14;0.0
20180107:1710;0.0;0.0;0.0;2.01;1.72;0.0
20180107:1810;0.0;0.0;0.0;1.91;1.66;0.0
20180107:1910;0.0;0.0;0.0;1.78;1.86;0.0
20180107:2010;0.0;0.0;0.0;1.28;2.07;0.0
20180107:2110;0.0;0.0;0.0;0.79;2.0;0.0
20180107:2210;0.0;0.0;0.0;0.15;1.86;0.0
20180107:2310;0.0;0.0;0.0;-0.33;1.93;0.0
20180108:0010;0.0;0.0;0.0;-0.99;2.07;0.0
20180108:0110;0.0;0.0;0.0;-1.49;2.14;0.0
20180108:0210;0.0;0.0;0.0;-1.92;2.14;0.0
20180108:0310;0.0;0.0;0.0;-2.32;2.07;0.0
20180108:0410;0.0;0.0;0.0;-2.03;2.07;0.0
20180108:0510;0.0;0.0;0.0;-2.68;2.14;0.0
20180108:0610;0.0;0.0;0.0;-2.32;2.14;0.0
20180108:0710;0.0;0.0;0.0;-1.98;2.14;0.0
20180108:0810;199.7;238.97;4.42;-1.79;1.93;0.0
20180108:0910;489.05;559.46;13.2;-0.3;1.52;0.0
20180108:1010;664.89;779.52;20.31;2.19;1.66;0.0
20180108:1110;777.06;937.04;25.19;4.01;1.59;0.0
20180108:1210;796.84;978.21;27.28;5.44;1.31;0.0
20180108:1310;734.72;901.93;26.3;6.4;1.03;0.0
20180108:1410;281.39;336.22;22.39;6.96;0.62;0.0
20180108:1510;337.3;403.22;16.03;7.12;0.34;0.0
20180108:1610;269.6;332.86;7.8;6.89;0.69;0.0
20180108:1710;0.0;0.0;0.0;6.06;1.03;0.0
20180108:1810;0.0;0.0;0.0;4.52;1.24;0.0
20180108:1910;0.0;0.0;0.0;3.47;1.66;0.0
20180108:2010;0.0;0.0;0.0;2.21;1.72;0.0
20180108:2110;0.0;0.0;0.0;1.15;1.72;0.0
20180108:2210;0.0;0.0;0.0;0.41;1.66;0.0
20180108:2310;0.0;0.0;0.0;-0.09;1.59;0.0
20180109:0010;0.0;0.0;0.0;-0.61;1.66;0.0
20180109:0110;0.0;0.0;0.0;-0.9;1.45;0.0
20180109:0210;0.0;0.0;0.0;-0.48;1.1;0.0
20180109:0310;0.0;0.0;0.0;-1.13;1.31;0.0
20180109:0410;0.0;0.0;0.0;-1.11;1.24;0.0
20180109:0510;0.0;0.0;0.0;-1.15;1.24;0.0
20180109:0610;0.0;0.0;0.0;-1.29;1.31;0.0
20180109:0710;0.0;0.0;0.0;-1.92;1.17;0.0
20180109:0810;37.0;56.71;4.46;-1.46;1.31;0.0
20180109:0910;35.23;54.39;13.25;-0.08;1.17;0.0
20180109:1010;132.77;164.21;20.4;1.97;1.66;0.0
20180109:1110;150.27;184.4;25.3;3.2;2.28;0.0
20180109:1210;163.96;199.76;27.41;3.91;3.03;0.0
20180109:1310;273.61;319.28;26.46;4.11;3.38;0.0
20180109:1410;28.59;47.01;22.56;3.61;2.9;0.0
20180109:1510;155.63;189.31;16.2;3.19;2.76;0.0
20180109:1610;123.97;157.32;7.97;2.88;2.55;0.0
20180109:1710;0.0;0.0;0.0;2.49;2.34;0.0
20180109:1810;0.0;0.0;0.0;2.34;2.14;0.0
20180109:1910;0.0;0.0;0.0;2.13;1.38;0.0
20180109:2010;0.0;0.0;0.0;2.31;1.03;0.0
20180109:2110;0.0;0.0;0.0;2.51;0.83;0.0
20180109:2210;0.0;0.0;0.0;2.65;0.62;0.0
20180109:2310;0.0;0.0;0.0;2.93;0.55;0.0
20180110:0010;0.0;0.0;0.0;3.06;0.48;0.0
20180110:0110;0.0;0.0;0.0;3.02;0.69;0.0
