Fecha;Hora;Consumo (kWh);Metodo_obtencion
07/11/2022;5;0,052;R
07/11/2022;6;0,049;R
07/11/2022;7;0,05;R
07/11/2022;8;0,15;R
07/11/2022;9;0,264;R
07/11/2022;10;0,157;R
07/11/2022;11;0,075;R
07/11/2022;12;0,073;R
07/11/2022;13;0,056;R
07/11/2022;14;0,05;R
07/11/2022;15;0,05;R
07/11/2022;16;0,061;R
07/11/2022;17;0,067;R
07/11/2022;18;0,132;R
07/11/2022;19;0,155;R
07/11/2022;20;0,165;R
07/11/2022;21;0,095;R
07/11/2022;22;0,23;R
07/11/2022;23;0,212;R
07/11/2022;24;0,09;R
08/11/2022;1;0,055;R
08/11/2022;2;0,053;R
08/11/2022;3;0,052;R
08/11/2022;4;0,053;R
08/11/2022;5;0,054;R
08/11/2022;6;0,05;R
08/11/2022;7;0,051;R
08/11/2022;8;0,1;R
08/11/2022;9;0,268;R
08/11/2022;10;0,115;R
08/11/2022;11;0,048;R
08/11/2022;12;0,048;R
08/11/2022;13;0,047;R
08/11/2022;14;0,047;R
08/11/2022;15;0,049;R
08/11/2022;16;0,39;R
08/11/2022;17;0,063;R
08/11/2022;18;0,131;R
08/11/2022;19;0,168;R
08/11/2022;20;0,134;R
08/11/2022;21;0,062;R
08/11/2022;22;0,258;R
08/11/2022;23;0,147;R
08/11/2022;24;0,102;R
09/11/2022;1;0,055;R
09/11/2022;2;0,05;R
09/11/2022;3;0,049;R
09/11/2022;4;0,05;R
09/11/2022;5;0,048;R
09/11/2022;6;0,049;R
09/11/2022;7;0,049;R
09/11/2022;8;0,09;R
09/11/2022;9;0,215;R
09/11/2022;10;0,063;R
09/11/2022;11;0,052;R
09/11/2022;12;0,067;R
09/11/2022;13;0,046;R
09/11/2022;14;0,049;R
09/11/2022;15;0,05;R
09/11/2022;16;0,049;R
09/11/2022;17;0,067;R
09/11/2022;18;0,142;R
09/11/2022;19;0,187;R
09/11/2022;20;0,171;R
09/11/2022;21;0,162;R
09/11/2022;22;0,156;R
09/11/2022;23;0,125;R
09/11/2022;24;0,081;R
10/11/2022;1;0,049;R
10/11/2022;2;0,049;R
10/11/2022;3;0,045;R
10/11/2022;4;0,051;R
10/11/2022;5;0,05;R
10/11/2022;6;0,048;R
10/11/2022;7;0,048;R
10/11/2022;8;0,09;R
10/11/2022;9;0,233;R
10/11/2022;10;0,102;R
10/11/2022;11;0,047;R
10/11/2022;12;0,049;R
10/11/2022;13;0,048;R
10/11/2022;14;0,048;R
10/11/2022;15;0,048;R
10/11/2022;16;0,077;R
10/11/2022;17;0,104;R
10/11/2022;18;0,166;R
10/11/2022;19;0,159;R
10/11/2022;20;0,169;R
10/11/2022;21;0,072;R
10/11/2022;22;0,256;R
10/11/2022;23;0,147;R
10/11/2022;24;0,101;R
11/11/2022;1;0,063;R
11/11/2022;2;0,058;R
11/11/2022;3;0,058;R
11/11/2022;4;0,056;R
11/11/2022;5;0,059;R
11/11/2022;6;0,058;R
11/11/2022;7;0,05;R
11/11/2022;8;0,052;R
11/11/2022;9;0,218;R
11/11/2022;10;0,076;R
11/11/2022;11;0,049;R
11/11/2022;12;0,066;R
11/11/2022;13;0,049;R
11/11/2022;14;0,049;R
11/11/2022;15;0,048;R
11/11/2022;16;0,059;R
11/11/2022;17;0,06;R
11/11/2022;18;0,498;R
11/11/2022;19;0,214;R
11/11/2022;20;0,168;R
11/11/2022;21;0,219;R
11/11/2022;22;0,064;R
11/11/2022;23;0,138;R
11/11/2022;24;0,114;R
12/11/2022;1;0,054;R
12/11/2022;2;0,05;R
12/11/2022;3;0,051;R
12/11/2022;4;0,05;R
12/11/2022;5;0,052;R
12/11/2022;6;0,05;R
12/11/2022;7;0,044;R
12/11/2022;8;0,048;R
12/11/2022;9;0,054;R
12/11/2022;10;0,43;R
12/11/2022;11;0,307;R
12/11/2022;12;0,129;R
12/11/2022;13;0,421;R
12/11/2022;14;0,758;R
12/11/2022;15;0,35;R
12/11/2022;16;0,47;R
12/11/2022;17;0,647;R
12/11/2022;18;0,356;R
12/11/2022;19;0,473;R
12/11/2022;20;0,981;R
12/11/2022;21;1,008;R
12/11/2022;22;0,494;R
12/11/2022;23;0,361;R
12/11/2022;24;0,376;R
13/11/2022;1;0,361;R
13/11/2022;2;0,328;R
13/11/2022;3;0,279;R
13/11/2022;4;0,236;R
13/11/2022;5;0,198;R
13/11/2022;6;0,525;R
13/11/2022;7;0,251;R
13/11/2022;8;0,06;R
13/11/2022;9;0,054;R
13/11/2022;10;0,05;R
13/11/2022;11;0,05;R
13/11/2022;12;0,097;R
13/11/2022;13;0,125;R
13/11/2022;14;0,105;R
13/11/2022;15;0,093;R
13/11/2022;16;0,079;R
13/11/2022;17;0,073;R
13/11/2022;18;0,223;R
13/11/2022;19;0,486;R
13/11/2022;20;0,085;R
13/11/2022;21;0,058;R
13/11/2022;22;0,196;R
13/11/2022;23;0,332;R
13/11/2022;24;0,072;R
14/11/2022;1;0,05;R
14/11/2022;2;0,05;R
14/11/2022;3;0,047;R
14/11/2022;4;0,049;R
14/11/2022;5;0,052;R
14/11/2022;6;0,05;R
14/11/2022;7;0,05;R
14/11/2022;8;0,085;R
14/11/2022;9;0,324;R
14/11/2022;10;0,167;R
14/11/2022;11;0,093;R
14/11/2022;12;0,073;R
14/11/2022;13;0,048;R
14/11/2022;14;0,046;R
14/11/2022;15;0,972;R
14/11/2022;16;0,357;R
14/11/2022;17;0,209;R
14/11/2022;18;0,253;R
14/11/2022;19;0,489;R
14/11/2022;20;0,451;R
14/11/2022;21;0,086;R
14/11/2022;22;0,121;R
14/11/2022;23;0,13;R
14/11/2022;24;0,086;R
15/11/2022;1;0,062;R
15/11/2022;2;0,053;R
15/11/2022;3;0,05;R
15/11/2022;4;0,05;R
15/11/2022;5;0,047;R
15/11/2022;6;0,05;R
15/11/2022;7;0,049;R
15/11/2022;8;0,091;R
15/11/2022;9;0,322;R
15/11/2022;10;0,105;R
15/11/2022;11;0,122;R
15/11/2022;12;0,139;R
15/11/2022;13;0,105;R
15/11/2022;14;0,107;R
15/11/2022;15;0,557;R
15/11/2022;16;0,548;R
15/11/2022;17;0,236;R
15/11/2022;18;0,126;R
15/11/2022;19;0,169;R
15/11/2022;20;0,127;R
15/11/2022;21;0,05;R
15/11/2022;22;0,346;R
15/11/2022;23;0,322;R
15/11/2022;24;0,243;R
16/11/2022;1;0,228;R
16/11/2022;2;0,225;R
16/11/2022;3;0,225;R
16/11/2022;4;0,227;R
16/11/2022;5;0,223;R
16/11/2022;6;0,222;R
16/11/2022;7;0,235;R
16/11/2022;8;0,186;R
16/11/2022;9;0,11;R
16/11/2022;10;0,058;R
16/11/2022;11;0,05;R
16/11/2022;12;0,068;R
16/11/2022;13;0,048;R
16/11/2022;14;0,05;R
16/11/2022;15;0,049;R
16/11/2022;16;0,055;R
16/11/2022;17;0,069;R
16/11/2022;18;0,45;R
16/11/2022;19;0,175;R
16/11/2022;20;0,138;R
16/11/2022;21;0,062;R
16/11/2022;22;0,163;R
16/11/2022;23;0,126;R
16/11/2022;24;0,093;R
17/11/2022;1;0,055;R
17/11/2022;2;0,053;R
17/11/2022;3;0,052;R
17/11/2022;4;0,052;R
17/11/2022;5;0,076;R
17/11/2022;6;0,101;R
17/11/2022;7;0,06;R
17/11/2022;8;0,094;R
17/11/2022;9;0,262;R
17/11/2022;10;0,109;R
17/11/2022;11;0,071;R
17/11/2022;12;0,048;R
17/11/2022;13;0,049;R
17/11/2022;14;0,051;R
17/11/2022;15;0,051;R
17/11/2022;16;0,058;R
17/11/2022;17;0,07;R
17/11/2022;18;0,117;R
17/11/2022;19;0,192;R
17/11/2022;20;0,153;R
17/11/2022;21;0,056;R
17/11/2022;22;0,131;R
17/11/2022;23;0,239;R
17/11/2022;24;0,124;R
18/11/2022;1;0,066;R
18/11/2022;2;0,058;R
18/11/2022;3;0,054;R
18/11/2022;4;0,053;R
18/11/2022;5;0,056;R
18/11/2022;6;0,052;R
18/11/2022;7;0,051;R
18/11/2022;8;0,053;R
18/11/2022;9;0,153;R
18/11/2022;10;0,163;R
18/11/2022;11;0,061;R
18/11/2022;12;0,073;R
18/11/2022;13;0,052;R
18/11/2022;14;0,051;R
18/11/2022;15;0,417;R
18/11/2022;16;0,254;R
18/11/2022;17;0,09;R
18/11/2022;18;0,195;R
18/11/2022;19;0,052;R
18/11/2022;20;0,051;R
18/11/2022;21;0,051;R
18/11/2022;22;0,12;R
18/11/2022;23;0,094;R
18/11/2022;24;0,076;R
19/11/2022;1;0,067;R
19/11/2022;2;0,066;R
19/11/2022;3;0,067;R
19/11/2022;4;0,067;R
19/11/2022;5;0,066;R
19/11/2022;6;0,065;R
19/11/2022;7;0,063;R
19/11/2022;8;0,063;R
19/11/2022;9;0,094;R
19/11/2022;10;0,163;R
19/11/2022;11;0,448;R
