CUPS;Fecha;Hora;Consumo (kWh);Metodo_obtencion
ES0021000004465414FF;27/02/2022;2;0,196;R
ES0021000004465414FF;27/02/2022;3;0,205;R
ES0021000004465414FF;27/02/2022;4;0,137;R
ES0021000004465414FF;27/02/2022;5;0,167;R
ES0021000004465414FF;27/02/2022;6;0,153;R
ES0021000004465414FF;27/02/2022;7;0,184;R
ES0021000004465414FF;27/02/2022;8;0,358;R
ES0021000004465414FF;27/02/2022;9;0,454;R
ES0021000004465414FF;27/02/2022;10;0,273;R
ES0021000004465414FF;27/02/2022;11;0,239;R
ES0021000004465414FF;27/02/2022;12;0,402;R
ES0021000004465414FF;27/02/2022;13;1,319;R
ES0021000004465414FF;27/02/2022;14;1,225;R
ES0021000004465414FF;27/02/2022;15;1,014;R
ES0021000004465414FF;27/02/2022;16;0,49;R
ES0021000004465414FF;27/02/2022;17;0,576;R
ES0021000004465414FF;27/02/2022;18;0,296;R
ES0021000004465414FF;27/02/2022;19;0,454;R
ES0021000004465414FF;27/02/2022;20;0,355;R
ES0021000004465414FF;27/02/2022;21;0,413;R
ES0021000004465414FF;27/02/2022;22;0,563;R
ES0021000004465414FF;27/02/2022;23;0,472;R
ES0021000004465414FF;27/02/2022;24;0,42;R
ES0021000004465414FF;28/02/2022;1;0,382;R
ES0021000004465414FF;28/02/2022;2;0,188;R
ES0021000004465414FF;28/02/2022;3;0,235;R
ES0021000004465414FF;28/02/2022;4;0,146;R
ES0021000004465414FF;28/02/2022;5;0,178;R
ES0021000004465414FF;28/02/2022;6;0,155;R
ES0021000004465414FF;28/02/2022;7;0,312;R
ES0021000004465414FF;28/02/2022;8;0,283;R
ES0021000004465414FF;28/02/2022;9;0,173;R
ES0021000004465414FF;28/02/2022;10;0,201;R
ES0021000004465414FF;28/02/2022;11;0,213;R
ES0021000004465414FF;28/02/2022;12;0,198;R
ES0021000004465414FF;28/02/2022;13;0,267;R
ES0021000004465414FF;28/02/2022;14;0,245;R
ES0021000004465414FF;28/02/2022;15;0,943;R
ES0021000004465414FF;28/02/2022;16;0,551;R
ES0021000004465414FF;28/02/2022;17;0,298;R
ES0021000004465414FF;28/02/2022;18;0,43;R
ES0021000004465414FF;28/02/2022;19;0,369;R
ES0021000004465414FF;28/02/2022;20;0,39;R
ES0021000004465414FF;28/02/2022;21;0,42;R
ES0021000004465414FF;28/02/2022;22;1,108;R
ES0021000004465414FF;28/02/2022;23;0,984;R
ES0021000004465414FF;28/02/2022;24;0,314;R
ES0021000004465414FF;01/03/2022;1;0,314;R
ES0021000004465414FF;01/03/2022;2;0,257;R
ES0021000004465414FF;01/03/2022;3;0,158;R
ES0021000004465414FF;01/03/2022;4;0,188;R
ES0021000004465414FF;01/03/2022;5;0,138;R
ES0021000004465414FF;01/03/2022;6;0,226;R
ES0021000004465414FF;01/03/2022;7;0,41;R
ES0021000004465414FF;01/03/2022;8;0,363;R
ES0021000004465414FF;01/03/2022;9;0,231;R
ES0021000004465414FF;01/03/2022;10;0,186;R
ES0021000004465414FF;01/03/2022;11;0,281;R
ES0021000004465414FF;01/03/2022;12;0,241;R
ES0021000004465414FF;01/03/2022;13;0,26;R
ES0021000004465414FF;01/03/2022;14;0,32;R
ES0021000004465414FF;01/03/2022;15;0,69;R
ES0021000004465414FF;01/03/2022;16;0,538;R
ES0021000004465414FF;01/03/2022;17;0,601;R
ES0021000004465414FF;01/03/2022;18;0,608;R
ES0021000004465414FF;01/03/2022;19;0,493;R
ES0021000004465414FF;01/03/2022;20;0,429;R
ES0021000004465414FF;01/03/2022;21;0,847;R
ES0021000004465414FF;01/03/2022;22;0,569;R
ES0021000004465414FF;01/03/2022;23;0,565;R
ES0021000004465414FF;01/03/2022;24;0,428;R
ES0021000004465414FF;02/03/2022;1;0,265;R
ES0021000004465414FF;02/03/2022;2;0,15;R
ES0021000004465414FF;02/03/2022;3;0,225;R
ES0021000004465414FF;02/03/2022;4;0,174;R
ES0021000004465414FF;02/03/2022;5;0,141;R
ES0021000004465414FF;02/03/2022;6;0,217;R
ES0021000004465414FF;02/03/2022;7;0,329;R
ES0021000004465414FF;02/03/2022;8;0,311;R
ES0021000004465414FF;02/03/2022;9;0,184;R
ES0021000004465414FF;02/03/2022;10;0,15;R
ES0021000004465414FF;02/03/2022;11;0,217;R
ES0021000004465414FF;02/03/2022;12;0,227;R
ES0021000004465414FF;02/03/2022;13;0,322;R
ES0021000004465414FF;02/03/2022;14;0,323;R
ES0021000004465414FF;02/03/2022;15;0,865;R
ES0021000004465414FF;02/03/2022;16;0,322;R
ES0021000004465414FF;02/03/2022;17;0,345;R
ES0021000004465414FF;02/03/2022;18;0,487;R
ES0021000004465414FF;02/03/2022;19;0,266;R
ES0021000004465414FF;02/03/2022;20;0,405;R
ES0021000004465414FF;02/03/2022;21;1,112;R
ES0021000004465414FF;02/03/2022;22;0,766;R
ES0021000004465414FF;02/03/2022;23;0,351;R
ES0021000004465414FF;02/03/2022;24;0,338;R
ES0021000004465414FF;03/03/2022;1;0,293;R
ES0021000004465414FF;03/03/2022;2;0,201;R
ES0021000004465414FF;03/03/2022;3;0,273;R
ES0021000004465414FF;03/03/2022;4;0,16;R
ES0021000004465414FF;03/03/2022;5;0,147;R
ES0021000004465414FF;03/03/2022;6;0,179;R
ES0021000004465414FF;03/03/2022;7;0,139;R
ES0021000004465414FF;03/03/2022;8;0,447;R
ES0021000004465414FF;03/03/2022;9;0,246;R
ES0021000004465414FF;03/03/2022;10;0,431;R
ES0021000004465414FF;03/03/2022;11;0,25;R
ES0021000004465414FF;03/03/2022;12;0,371;R
ES0021000004465414FF;03/03/2022;13;0,331;R
ES0021000004465414FF;03/03/2022;14;0,336;R
ES0021000004465414FF;03/03/2022;15;1,399;R
ES0021000004465414FF;03/03/2022;16;1,185;R
ES0021000004465414FF;03/03/2022;17;0,381;R
ES0021000004465414FF;03/03/2022;18;0,458;R
ES0021000004465414FF;03/03/2022;19;0,372;R
ES0021000004465414FF;03/03/2022;20;0,346;R
ES0021000004465414FF;03/03/2022;21;0,338;R
ES0021000004465414FF;03/03/2022;22;1,171;R
ES0021000004465414FF;03/03/2022;23;0,76;R
ES0021000004465414FF;03/03/2022;24;0,562;R
ES0021000004465414FF;04/03/2022;1;0,32;R
ES0021000004465414FF;04/03/2022;2;0,244;R
ES0021000004465414FF;04/03/2022;3;0,167;R
ES0021000004465414FF;04/03/2022;4;0,205;R
ES0021000004465414FF;04/03/2022;5;0,27;R
ES0021000004465414FF;04/03/2022;6;0,215;R
ES0021000004465414FF;04/03/2022;7;0,402;R
ES0021000004465414FF;04/03/2022;8;0,325;R
ES0021000004465414FF;04/03/2022;9;0,19;R
ES0021000004465414FF;04/03/2022;10;0,19;R
ES0021000004465414FF;04/03/2022;11;0,15;R
ES0021000004465414FF;04/03/2022;12;0,281;R
ES0021000004465414FF;04/03/2022;13;0,238;R
ES0021000004465414FF;04/03/2022;14;0,232;R
ES0021000004465414FF;04/03/2022;15;0,839;R
ES0021000004465414FF;04/03/2022;16;0,399;R
ES0021000004465414FF;04/03/2022;17;0,574;R
ES0021000004465414FF;04/03/2022;18;0,588;R
ES0021000004465414FF;04/03/2022;19;0,465;R
ES0021000004465414FF;04/03/2022;20;0,514;R
ES0021000004465414FF;04/03/2022;21;0,448;R
ES0021000004465414FF;04/03/2022;22;0,57;R
ES0021000004465414FF;04/03/2022;23;0,53;R
ES0021000004465414FF;04/03/2022;24;0,544;R
ES0021000004465414FF;05/03/2022;1;0,474;R
ES0021000004465414FF;05/03/2022;2;0,352;R
ES0021000004465414FF;05/03/2022;3;0,19;R
ES0021000004465414FF;05/03/2022;4;0,142;R
ES0021000004465414FF;05/03/2022;5;0,205;R
ES0021000004465414FF;05/03/2022;6;0,162;R
ES0021000004465414FF;05/03/2022;7;0,233;R
ES0021000004465414FF;05/03/2022;8;0,439;R
ES0021000004465414FF;05/03/2022;9;0,255;R
ES0021000004465414FF;05/03/2022;10;0,354;R
ES0021000004465414FF;05/03/2022;11;0,4;R
ES0021000004465414FF;05/03/2022;12;0,461;R
ES0021000004465414FF;05/03/2022;13;0,644;R
ES0021000004465414FF;05/03/2022;14;1,451;R
ES0021000004465414FF;05/03/2022;15;1,07;R
ES0021000004465414FF;05/03/2022;16;0,619;R
ES0021000004465414FF;05/03/2022;17;0,576;R
ES0021000004465414FF;05/03/2022;18;0,525;R
ES0021000004465414FF;05/03/2022;19;0,533;R
ES0021000004465414FF;05/03/2022;20;0,569;R
ES0021000004465414FF;05/03/2022;21;0,44;R
ES0021000004465414FF;05/03/2022;22;0,436;R
ES0021000004465414FF;05/03/2022;23;0,407;R
ES0021000004465414FF;05/03/2022;24;0,305;R
ES0021000004465414FF;06/03/2022;1;0,329;R
ES0021000004465414FF;06/03/2022;2;0,392;R
ES0021000004465414FF;06/03/2022;3;0,264;R
ES0021000004465414FF;06/03/2022;4;0,134;R
ES0021000004465414FF;06/03/2022;5;0,199;R
ES0021000004465414FF;06/03/2022;6;0,15;R
ES0021000004465414FF;06/03/2022;7;0,303;R
ES0021000004465414FF;06/03/2022;8;0,295;R
ES0021000004465414FF;06/03/2022;9;0,441;R
ES0021000004465414FF;06/03/2022;10;0,421;R
ES0021000004465414FF;06/03/2022;11;0,408;R
ES0021000004465414FF;06/03/2022;12;0,417;R
ES0021000004465414FF;06/03/2022;13;0,491;R
ES0021000004465414FF;06/03/2022;14;1,221;R
ES0021000004465414FF;06/03/2022;15;1,229;R
ES0021000004465414FF;06/03/2022;16;0,8;R
ES0021000004465414FF;06/03/2022;17;0,535;R
ES0021000004465414FF;06/03/2022;18;0,498;R
ES0021000004465414FF;06/03/2022;19;0,518;R
ES0021000004465414FF;06/03/2022;20;0,514;R
ES0021000004465414FF;06/03/2022;21;1,795;R
ES0021000004465414FF;06/03/2022;22;0,945;R
ES0021000004465414FF;06/03/2022;23;0,588;R
ES0021000004465414FF;06/03/2022;24;0,351;R
ES0021000004465414FF;07/03/2022;1;0,416;R
ES0021000004465414FF;07/03/2022;2;0,218;R
ES0021000004465414FF;07/03/2022;3;0,188;R
ES0021000004465414FF;07/03/2022;4;0,226;R
ES0021000004465414FF;07/03/2022;5;0,204;R
ES0021000004465414FF;07/03/2022;6;0,221;R
ES0021000004465414FF;07/03/2022;7;0,315;R
ES0021000004465414FF;07/03/2022;8;0,256;R
